acc,city,licence
56552,CHICAGO,Limited Business License
30990,CHICAGO,Regulated Business License
347752,CHICAGO,Limited Business License
50506,CHICAGO,Retail Food Establishment
457569,CHICAGO,Commercial Garage
285211,CHICAGO,Limited Business License
386886,CHICAGO,Tavern
385849,CHICAGO,Manufacturing Establishments
385306,CHICAGO,Tobacco
338204,CHICAGO,Limited Business License
462988,CHICAGO,Regulated Business License
11071,CHICAGO,Retail Food Establishment
324368,CHICAGO,Tobacco
386295,CHICAGO,Limited Business License
314298,CHICAGO,Limited Business License
463593,CHICAGO,Regulated Business License
203935,CHICAGO,Retail Food Establishment
305203,CHICAGO,Retail Food Establishment
252568,CHICAGO,Limited Business License
320843,CHICAGO,Tobacco
31664,CHICAGO,Tavern
464385,CHICAGO,Limited Business License
58972,CHICAGO,Limited Business License
16105,CHICAGO,Limited Business License
243985,CHICAGO,Peddler License
464157,CHICAGO,Limited Business License
201644,CHICAGO,Retail Food Establishment
422734,CHICAGO,Limited Business License
40474,CHICAGO,Manufacturing Establishments
18419,CHICAGO,Retail Food Establishment
19320,CHICAGO,Retail Food Establishment
402182,CHICAGO,Limited Business License
402175,ST. LOUIS,Explosives
43250,CHICAGO,Limited Business License
41872,CHICAGO,Regulated Business License
386183,CHICAGO,Retail Food Establishment
67842,CHICAGO,Limited Business License
390,CHICAGO,Tavern
4192,CHICAGO,Consumption on Premises - Incidental Activity
292972,CHICAGO,Package Goods
463680,CHICAGO,Limited Business License
211817,CHICAGO,Limited Business License
422538,CHICAGO,Retail Food Establishment
211020,CHICAGO,Consumption on Premises - Incidental Activity
422538,CHICAGO,Retail Food Establishment
401971,CHICAGO,Retail Food Establishment
422856,CHICAGO,Limited Business License
59178,CHICAGO,Limited Business License
367424,CHICAGO,Regulated Business License
300077,CHICAGO,Filling Station
288092,CHICAGO,Retail Food Establishment
11071,CHICAGO,Retail Food Establishment
40404,CHICAGO,Limited Business License
40097,CHICAGO,Limited Business License
36460,CHICAGO,Motor Vehicle Services License
348250,CHICAGO,Retail Food Establishment
463696,CHICAGO,Regulated Business License
422426,CHICAGO,Limited Business License
318094,CHICAGO,Manufacturing Establishments
378152,CHICAGO,Consumption on Premises - Incidental Activity
385758,NORTHBROOK,Regulated Business License
330883,CHICAGO,Children's Services Facility License
313337,CHICAGO,Retail Food Establishment
422603,CHICAGO,Limited Business License
367661,CHICAGO,Limited Business License
50537,CHICAGO,Limited Business License
335951,CHICAGO,Limited Business License
277372,CHICAGO,Limited Business License
423055,CHICAGO,Limited Business License
48119,CHICAGO,Limited Business License
470912,CROWN POINT,Pharmaceutical Representative
289659,CHICAGO,Limited Business License
420489,CHICAGO,Limited Business License
313785,CHICAGO,Children's Services Facility License
432316,CHICAGO,Consumption on Premises - Incidental Activity
59178,CHICAGO,Limited Business License
321646,CHICAGO,Regulated Business License
421788,CHICAGO,Tobacco
349458,CHICAGO,Children's Services Facility License
400631,CHICAGO,Retail Food Establishment
324193,CHICAGO,Limited Business License
464050,NEWARK,Regulated Business License
258269,CHICAGO,Filling Station
431823,CHICAGO,Motor Vehicle Services License
401999,CHICAGO,Retail Food Establishment
53425,CHICAGO,Motor Vehicle Services License
316516,CHICAGO,Regulated Business License
